Country,City,PO/ORDER#,Categories,SKU,QTY ORD,CHANNEL,WAREHOUSE,Pick-Up / Delivery,Customer,SALES $,EXPECTED
United States,Houston,102942,Fresh Packaged,FP2020,38,Retail,Kern,Delivery,Customer1,4750,45245
United States,NEW YORK CITY,102941,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45286
United States,San Antonio,102940,Healthy,HT2054,40,Retail,Kern,Delivery,Customer1,5000,45212
United States,San Diego,102939,Healthy Beverage,HB1016,51,Retail,Kern,Delivery,Customer1,6375,45239
United States,Los Angeles,102938,Healthy,HT1064,70,Retail,Kern,Delivery,Customer1,8750,45258
United States,Los Angeles,102937,Healthy Beverage,HB1016,1,Retail,Kern,Delivery,Customer1,125,45268
United States,Phoenix,102936,Healthy Beverage,HB1016,16,Retail,Kern,Delivery,Customer1,2000,45215
United States,NEW YORK CITY,102935,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45234
United States,NEW YORK CITY,102934,Healthy,HT2054,152,Retail,Kern,Delivery,Customer1,19000,45262
United States,NEW YORK CITY,102933,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45238
United States,Phoenix,102932,Healthy Beverage,HB1016,3,Retail,Kern,Delivery,Customer1,375,45274
United States,Los Angeles,102931,Healthy,HT2054,40,Retail,Kern,Delivery,Customer1,5000,45240
United States,Los Angeles,102930,Healthy,HT1064,70,Retail,Kern,Delivery,Customer1,8750,45205
United States,NEW YORK CITY,102929,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45262
United States,NEW YORK CITY,102928,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45232
United States,Chicago,102927,Healthy Beverage,HB1016,15,Retail,Kern,Delivery,Customer1,1875,45263
United States,Chicago,102926,Healthy,HT2054,100,Retail,Kern,Delivery,Customer1,12500,45279
United States,Houston,102925,Fresh Packaged,FP2020,22,Retail,Kern,Delivery,Customer1,2750,45269
United States,Houston,102924,Healthy Beverage,HB1016,21,Retail,Kern,Delivery,Customer1,2625,45290
United States,Houston,102923,Healthy,HT2054,250,Retail,Kern,Delivery,Customer1,31250,45261
United States,Chicago,102922,Healthy,HT2054,60,Retail,Kern,Delivery,Customer1,7500,45223
United States,Chicago,102921,Healthy Beverage,HB1016,10,Retail,Kern,Delivery,Customer1,1250,45237
United States,Houston,102920,Healthy,HT2054,140,Retail,Kern,Delivery,Customer1,17500,45202
United States,Houston,102919,Healthy Beverage,HB1016,17,Retail,Kern,Delivery,Customer1,2125,45224
United States,Houston,102918,Fresh Packaged,FP2020,40,Retail,Kern,Delivery,Customer1,5000,45223
United States,NEW YORK CITY,102917,Healthy,HT2054,52,Retail,Kern,Delivery,Customer1,6500,45282
United States,Chicago,102916,Healthy,HT2054,90,Retail,Kern,Delivery,Customer1,11250,45267
United States,Chicago,102915,Healthy Beverage,HB1016,12,Retail,Kern,Delivery,Customer1,1500,45208
United States,Houston,102914,Healthy Beverage,HB1016,10,Retail,Kern,Delivery,Customer1,1250,45288
United States,Houston,102913,Organic Beauty,OY2545,22,Retail,Kern,Delivery,Customer1,2750,45277
United States,Houston,102912,Fresh Packaged,FP2020,17,Retail,Kern,Delivery,Customer1,2125,45273
United States,Los Angeles,102911,Organic Beauty,OY2545,3,Retail,Kern,Delivery,Customer1,375,45211
United States,Los Angeles,102910,Healthy Beverage,HB1016,18,Retail,Kern,Delivery,Customer1,2250,45208
United States,Los Angeles,102909,Healthy,HT1064,70,Retail,Kern,Delivery,Customer1,8750,45261
United States,NEW YORK CITY,102908,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45223
United States,NEW YORK CITY,102907,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45259
United States,Phoenix,102906,Fresh Packaged,FP2020,4,Retail,Kern,Delivery,Customer1,500,45267
United States,Phoenix,102905,Healthy Beverage,HB1016,6,Retail,Kern,Delivery,Customer1,750,45253
United States,San Antonio,102904,Healthy,HT1064,55,Retail,Kern,Delivery,Customer1,6875,45277
United States,San Antonio,102903,Healthy Beverage,HB1016,2,Retail,Kern,Delivery,Customer1,250,45238
United States,San Antonio,102902,Organic Beauty,OY2545,3,Retail,Kern,Delivery,Customer1,375,45235
United States,Philadelphia,102901,Healthy,HT1064,33,Retail,Kern,Delivery,Customer1,4125,45250
United States,Chicago,102900,Organic Beauty,OY2545,11,Retail,Kern,Delivery,Customer1,1375,45232
United States,NEW YORK CITY,102899,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45250
United States,NEW YORK CITY,102898,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45205
United States,Phoenix,102897,Fresh Packaged,FP2020,4,Retail,Kern,Delivery,Customer1,500,45222
United States,Phoenix,102896,Healthy Beverage,HB1016,4,Retail,Kern,Delivery,Customer1,500,45202
United States,San Antonio,102895,Healthy Beverage,HB1016,1,Retail,Kern,Delivery,Customer1,125,45264
United States,San Antonio,102894,Healthy,HT1064,100,Retail,Kern,Delivery,Customer1,12500,45275
United States,Los Angeles,102893,Organic Beauty,OY2545,2,Retail,Kern,Delivery,Customer1,250,45203
United States,Los Angeles,102892,Healthy,HT1064,120,Retail,Kern,Delivery,Customer1,15000,45261
United States,Los Angeles,102891,Healthy Beverage,HB1016,1,Retail,Kern,Delivery,Customer1,125,45238
United States,Houston,102890,Fresh Packaged,FP2020,4,Retail,Kern,Delivery,Customer1,500,45265
United States,Chicago,102889,Healthy Beverage,HB1016,9,Retail,Kern,Delivery,Customer1,1125,45281
United States,Chicago,102888,Organic Beauty,OY2545,4,Retail,Kern,Delivery,Customer1,500,45276
United States,Los Angeles,102887,Healthy Beverage,HB1016,1,Retail,Kern,Delivery,Customer1,125,45226
United States,Los Angeles,102886,Healthy,HT2054,70,Retail,Kern,Delivery,Customer1,8750,45242
United States,San Diego,102885,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45222
United States,San Diego,102884,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45280
United States,NEW YORK CITY,102883,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45212
United States,NEW YORK CITY,102882,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45247
United States,NEW YORK CITY,102881,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45247
United States,Phoenix,102880,Healthy Beverage,HB1016,2,Retail,Kern,Delivery,Customer1,250,45227
United States,Phoenix,102879,Fresh Packaged,FP2020,5,Retail,Kern,Delivery,Customer1,625,45238
United States,Philadelphia,102878,Healthy,HT1064,20,Retail,Kern,Delivery,Customer1,2500,45208
United States,Houston,102877,Fresh Packaged,FP2020,13,Retail,Kern,Delivery,Customer1,1625,45265
United States,Houston,102876,Organic Beauty,OY2545,11,Retail,Kern,Delivery,Customer1,1375,45244
United States,San Antonio,102875,Healthy,HT1064,20,Retail,Kern,Delivery,Customer1,2500,45244
United States,San Antonio,102874,Healthy Beverage,HB1016,2,Retail,Kern,Delivery,Customer1,250,45250
United States,San Antonio,102873,Healthy Beverage,HB1016,3,Retail,Kern,Delivery,Customer1,375,45263
United States,San Antonio,102872,Organic Beauty,OY2545,7,Retail,Kern,Delivery,Customer1,875,45285
United States,Los Angeles,102871,Organic Beauty,OY2545,4,Retail,Kern,Delivery,Customer1,500,45212
United States,NEW YORK CITY,102870,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45288
United States,San Diego,102869,Organic Beauty,OY2545,156,Retail,Kern,Delivery,Customer1,19500,45218
United States,Houston,102868,Organic Beauty,OY2545,14,Retail,Kern,Delivery,Customer1,1750,45202
United States,Houston,102867,Healthy Beverage,HB1016,17,Retail,Kern,Delivery,Customer1,2125,45278
United States,San Diego,102866,Healthy Beverage,HB1016,156,Retail,Kern,Delivery,Customer1,19500,45244
United States,San Diego,102865,Organic Beauty,OY2545,121,Retail,Kern,Delivery,Customer1,15125,45246
United States,Phoenix,102864,Healthy Beverage,HB1016,6,Retail,Kern,Delivery,Customer1,750,45278
United States,Phoenix,102863,Organic Beauty,OY2545,2,Retail,Kern,Delivery,Customer1,250,45285
United States,Los Angeles,102862,Organic Beauty,OY2545,4,Retail,Kern,Delivery,Customer1,500,45218
United States,Chicago,102861,Healthy Beverage,HB1016,5,Retail,Kern,Delivery,Customer1,625,45248
United States,San Diego,102860,Organic Beauty,OY2545,53,Retail,Kern,Delivery,Customer1,6625,45283
United States,San Diego,102859,Healthy Beverage,HB1016,65,Retail,Kern,Delivery,Customer1,8125,45214
United States,Phoenix,102858,Organic Beauty,OY2545,1,Retail,Kern,Delivery,Customer1,125,45276
United States,Phoenix,102857,Healthy Beverage,HB1016,1,Retail,Kern,Delivery,Customer1,125,45229
United States,Phoenix,102856,Fresh Packaged,FP2020,3,Retail,Kern,Delivery,Customer1,375,45217
United States,Houston,102855,Organic Beauty,OY2545,3,Retail,Kern,Delivery,Customer1,375,45255
United States,NEW YORK CITY,102854,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45261
United States,Phoenix,102853,Healthy Beverage,HB1016,7,Retail,Kern,Delivery,Customer1,875,45236
United States,Phoenix,102852,Organic Beauty,OY2545,5,Retail,Kern,Delivery,Customer1,625,45254
United States,Chicago,102851,Organic Beauty,OY2545,9,Retail,Kern,Delivery,Customer1,1125,45287
United States,San Diego,102850,Organic Beauty,OY2545,34,Retail,Kern,Delivery,Customer1,4250,45214
United States,San Diego,102849,Healthy Beverage,HB1016,38,Retail,Kern,Delivery,Customer1,4750,45243
United States,NEW YORK CITY,102848,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45210
United States,Philadelphia,102847,Organic Beauty,OY2545,5,Retail,Kern,Delivery,Customer1,625,45245
United States,Philadelphia,102846,Healthy Beverage,HB1016,4,Retail,Kern,Delivery,Customer1,500,45230
United States,NEW YORK CITY,102845,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45238
United States,NEW YORK CITY,102844,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45239
United States,San Antonio,102843,Organic Beauty,OY2545,7,Retail,Kern,Delivery,Customer1,875,45235
United States,San Antonio,102842,Healthy Beverage,HB1016,8,Retail,Kern,Delivery,Customer1,1000,45288
United States,Houston,102841,Fresh Packaged,FP2020,4,Retail,Kern,Delivery,Customer1,500,45204
United States,Houston,102840,Healthy Beverage,HB1016,20,Retail,Kern,Delivery,Customer1,2500,45243
United States,Houston,102839,Organic Beauty,OY2545,13,Retail,Kern,Delivery,Customer1,1625,45208
United States,Houston,102838,Fresh Packaged,FP2020,11,Retail,Kern,Delivery,Customer1,1375,45224
United States,Houston,102837,Healthy Beverage,HB1016,10,Retail,Kern,Delivery,Customer1,1250,45258
United States,Houston,102836,Organic Beauty,OY2545,5,Retail,Kern,Delivery,Customer1,625,45224
United States,Chicago,102835,Healthy Beverage,HB1016,13,Retail,Kern,Delivery,Customer1,1625,45240
United States,NEW YORK CITY,102834,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45251
United States,NEW YORK CITY,102833,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45212
United States,NEW YORK CITY,102832,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45269
United States,Los Angeles,102831,Organic Beauty,OY2545,19,Retail,Kern,Delivery,Customer1,2375,45275
United States,Los Angeles,102830,Healthy Beverage,HB1016,19,Retail,Kern,Delivery,Customer1,2375,45239
United States,Philadelphia,102829,Organic Beauty,OY2545,12,Retail,Kern,Delivery,Customer1,1500,45281
United States,Philadelphia,102828,Healthy Beverage,HB1016,12,Retail,Kern,Delivery,Customer1,1500,45215
United States,Houston,102827,Healthy Beverage,HB1016,38,Retail,Kern,Delivery,Customer1,4750,45218
United States,Houston,102826,Fresh Packaged,FP2020,21,Retail,Kern,Delivery,Customer1,2625,45238
United States,Phoenix,102825,Healthy Beverage,HB1016,8,Retail,Kern,Delivery,Customer1,1000,45203
United States,Phoenix,102824,Organic Beauty,OY2545,1,Retail,Kern,Delivery,Customer1,125,45228
United States,Chicago,102823,Healthy Beverage,HB1016,9,Retail,Kern,Delivery,Customer1,1125,45205
United States,Chicago,102822,Organic Beauty,OY2545,8,Retail,Kern,Delivery,Customer1,1000,45241
United States,NEW YORK CITY,102821,Organic Beauty,OY2545,104,Retail,Kern,Delivery,Customer1,13000,45217
United States,NEW YORK CITY,102820,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45286
United States,Chicago,102819,Healthy Beverage,HB1016,14,Retail,Kern,Delivery,Customer1,1750,45290
United States,Chicago,102818,Organic Beauty,OY2545,7,Retail,Kern,Delivery,Customer1,875,45218
United States,Phoenix,102817,Healthy Beverage,HB1016,11,Retail,Kern,Delivery,Customer1,1375,45235
United States,Phoenix,102816,Fresh Packaged,FP2020,2,Retail,Kern,Delivery,Customer1,250,45255
United States,San Diego,102815,Healthy Beverage,HB1016,11,Retail,Kern,Delivery,Customer1,1375,45287
United States,Houston,102814,Healthy Beverage,HB1016,3,Retail,Kern,Delivery,Customer1,375,45222
United States,Dallas,102813,Healthy Beverage,HB1016,39,Retail,Kern,Delivery,Customer1,4875,45222
United States,Phoenix,102812,Organic Beauty,OY2545,4,Retail,Kern,Delivery,Customer1,500,45235
United States,Phoenix,102811,Fresh Packaged,FP2020,13,Retail,Kern,Delivery,Customer1,1625,45201
United States,Phoenix,102810,Healthy Beverage,HB1016,3,Retail,Kern,Delivery,Customer1,375,45213
United States,NEW YORK CITY,102809,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45275
United States,NEW YORK CITY,102808,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45241
United States,NEW YORK CITY,102807,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45211
United States,NEW YORK CITY,102806,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45266
United States,NEW YORK CITY,102805,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45277
United States,NEW YORK CITY,102804,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45213
United States,Chicago,102803,Healthy Beverage,HB1016,7,Retail,Kern,Delivery,Customer1,875,45238
United States,Phoenix,102802,Healthy Beverage,HB1016,9,Retail,Kern,Delivery,Customer1,1125,45245
United States,Houston,102801,Healthy Beverage,HB1016,10,Retail,Kern,Delivery,Customer1,1250,45219
United States,San Diego,102800,Healthy Beverage,HB1016,14,Retail,Kern,Delivery,Customer1,1750,45202
United States,San Diego,102799,Healthy Beverage,HB1016,63,Retail,Kern,Delivery,Customer1,7875,45250
United States,Chicago,102798,Healthy Beverage,HB1016,1,Retail,Kern,Delivery,Customer1,125,45238
United States,Chicago,102797,Organic Beauty,OY2545,23,Retail,Kern,Delivery,Customer1,2875,45233
United States,NEW YORK CITY,102796,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45253
United States,NEW YORK CITY,102795,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45277
United States,NEW YORK CITY,102794,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45207
United States,San Jose,102793,Fresh Packaged,FP2020,29,Ecomm,Kern,Delivery,Customer1,3625,45257
United States,San Jose,102792,Organic Beauty,OY2545,33,Ecomm,Kern,Delivery,Customer1,4125,45269
United States,San Jose,102791,Healthy Beverage,HB1016,52,Ecomm,Kern,Delivery,Customer1,6500,45260
United States,Austin,102790,Fresh Packaged,FP2020,58,Ecomm,Kern,Delivery,Customer1,7250,45214
United States,Austin,102789,Organic Beauty,OY2545,37,Ecomm,Kern,Delivery,Customer1,4625,45229
United States,Austin,102788,Healthy Beverage,HB1016,52,Ecomm,Kern,Delivery,Customer1,6500,45263
United States,Houston,102787,Healthy Beverage,HB1016,5,Retail,Kern,Delivery,Customer1,625,45226
United States,San Jose,102786,Fresh Packaged,FP2020,16,Retail,Kern,Delivery,Customer1,2000,45264
United States,San Jose,102785,Organic Beauty,OY2545,23,Retail,Kern,Delivery,Customer1,2875,45245
United States,San Jose,102784,Healthy Beverage,HB1016,20,Retail,Kern,Delivery,Customer1,2500,45290
United States,Houston,102783,Fresh Packaged,FP2020,35,Retail,Kern,Delivery,Customer1,4375,45287
United States,Houston,102782,Healthy Beverage,HB1016,13,Retail,Kern,Delivery,Customer1,1625,45256
United States,Dallas,102781,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45214
United States,NEW YORK CITY,102780,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45287
United States,NEW YORK CITY,102779,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45237
United States,Phoenix,102778,Healthy Beverage,HB1016,7,Retail,Kern,Delivery,Customer1,875,45266
United States,Phoenix,102777,Organic Beauty,OY2545,2,Retail,Kern,Delivery,Customer1,250,45247
United States,Phoenix,102776,Fresh Packaged,FP2020,5,Retail,Kern,Delivery,Customer1,625,45275
United States,San Diego,102775,Healthy Beverage,HB1016,29,Retail,Kern,Delivery,Customer1,3625,45201
United States,Chicago,102774,Healthy Beverage,HB1016,8,Retail,Kern,Delivery,Customer1,1000,45211
United States,Chicago,102773,Healthy Beverage,HB1016,8,Retail,Kern,Delivery,Customer1,1000,45234
United States,San Diego,102772,Healthy Beverage,HB1016,37,Retail,Kern,Delivery,Customer1,4625,45232
United States,Jacksonville,102771,Fresh Packaged,FP2020,104,Retail,Kern,Delivery,Customer1,13000,45286
United States,Jacksonville,102770,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45257
United States,Fort Worth,102769,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45275
United States,Fort Worth,102768,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45273
United States,Fort Worth,102767,Fresh Packaged,FP2020,104,Retail,Kern,Delivery,Customer1,13000,45234
United States,NEW YORK CITY,102766,Healthy Beverage,HB1016,104,Retail,Kern,Delivery,Customer1,13000,45273
United States,NEW YORK CITY,102765,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45266
United States,Houston,102764,Fresh Packaged,FP2020,30,Retail,Kern,Delivery,Customer1,3750,45215
United States,Houston,102763,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45249
United States,Houston,102762,Healthy Beverage,HB1016,57,Retail,Kern,Delivery,Customer1,7125,45280
United States,Dallas,102761,Healthy Beverage,HB1016,18,Retail,Kern,Delivery,Customer1,2250,45263
United States,NEW YORK CITY,102760,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45251
United States,Dallas,102759,Healthy Beverage,HB1016,5,Retail,Kern,Delivery,Customer1,625,45283
United States,Phoenix,102758,Fresh Packaged,FP2020,3,Retail,Kern,Delivery,Customer1,375,45267
United States,Phoenix,102757,Healthy Beverage,HB1016,4,Retail,Kern,Delivery,Customer1,500,45289
United States,Columbus,102756,Fresh Packaged,FP2020,10,Retail,Kern,Delivery,Customer1,1250,45260
United States,Columbus,102755,Organic Beauty,OY2545,11,Retail,Kern,Delivery,Customer1,1375,45249
United States,Columbus,102754,Healthy Beverage,HB1016,93,Retail,Kern,Delivery,Customer1,11625,45270
United States,San Francisco,102753,Fresh Packaged,FP2020,24,Retail,Kern,Delivery,Customer1,3000,45234
United States,San Francisco,102752,Organic Beauty,OY2545,47,Retail,Kern,Delivery,Customer1,5875,45254
United States,Houston,102751,Fresh Packaged,FP2020,12,Retail,Kern,Delivery,Customer1,1500,45210
United States,Houston,102750,Healthy Beverage,HB1016,35,Retail,Kern,Delivery,Customer1,4375,45254
United States,San Francisco,102749,Healthy Beverage,HB1016,54,Retail,Kern,Delivery,Customer1,6750,45228
United States,Fort Worth,102748,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45234
United States,Fort Worth,102747,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45255
United States,Fort Worth,102746,Healthy Beverage,HB1016,104,Retail,Kern,Delivery,Customer1,13000,45238
United States,Charlotte,102745,Healthy Beverage,HB1016,462,Retail,Kern,Delivery,Customer1,57750,45200
United States,Charlotte,102744,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45278
United States,Charlotte,102743,Fresh Packaged,FP2020,44,Retail,Kern,Delivery,Customer1,5500,45274
United States,Jacksonville,102742,Organic Beauty,OY2545,104,Ecomm,Kern,Delivery,Customer2,13000,45234
United States,Jacksonville,102741,Healthy Beverage,HB1016,4,Ecomm,Kern,Delivery,Customer2,500,45279
United States,San Diego,102740,Healthy Beverage,HB1016,50,Retail,Kern,Delivery,Customer1,6250,45220
United States,NEW YORK CITY,102739,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45201
United States,Chicago,102738,Healthy Beverage,HB1016,6,Retail,Kern,Delivery,Customer1,750,45257
United States,Dallas,102737,Healthy Beverage,HB1016,12,Retail,Kern,Delivery,Customer1,1500,45261
United States,Chicago,102736,Healthy Beverage,HB1016,7,Retail,Kern,Delivery,Customer1,875,45235
United States,Columbus,102735,Organic Beauty,OY2545,23,Ecomm,Kern,Delivery,Customer2,2875,45266
United States,Columbus,102734,Healthy Beverage,HB1016,91,Ecomm,Kern,Delivery,Customer2,11375,45267
United States,Houston,102733,Fresh Packaged,FP2020,6,Retail,Kern,Delivery,Customer1,750,45275
United States,Houston,102732,Organic Beauty,OY2545,7,Retail,Kern,Delivery,Customer1,875,45262
United States,Houston,102731,Healthy Beverage,HB1016,7,Retail,Kern,Delivery,Customer1,875,45275
United States,Houston,102730,Fresh Packaged,FP2020,16,Retail,Kern,Delivery,Customer1,2000,45219
United States,Houston,102729,Organic Beauty,OY2545,23,Retail,Kern,Delivery,Customer1,2875,45287
United States,Houston,102728,Healthy Beverage,HB1016,25,Retail,Kern,Delivery,Customer1,3125,45207
United States,Houston,102727,Fresh Packaged,FP2020,24,Retail,Kern,Delivery,Customer1,3000,45203
United States,Houston,102726,Healthy Beverage,HB1016,27,Retail,Kern,Delivery,Customer1,3375,45239
United States,Houston,102725,Organic Beauty,OY2545,32,Retail,Kern,Delivery,Customer1,4000,45236
United States,NEW YORK CITY,102724,Fresh Packaged,FP2020,104,Retail,Kern,Delivery,Customer1,13000,45237
United States,NEW YORK CITY,102723,Healthy Beverage,HB1016,104,Retail,Kern,Delivery,Customer1,13000,45273
United States,Chicago,102722,Healthy Beverage,HB1016,2,Retail,Kern,Delivery,Customer1,250,45229
United States,Chicago,102721,Organic Beauty,OY2545,13,Retail,Kern,Delivery,Customer1,1625,45267
United States,Phoenix,102720,Fresh Packaged,FP2020,1,Retail,Kern,Delivery,Customer1,125,45201
United States,Phoenix,102719,Organic Beauty,OY2545,8,Retail,Kern,Delivery,Customer1,1000,45220
United States,San Francisco,102718,Healthy Beverage,HB1016,45,Ecomm,Kern,Delivery,Customer2,5625,45243
United States,San Francisco,102717,Organic Beauty,OY2545,41,Ecomm,Kern,Delivery,Customer2,5125,45252
United States,San Francisco,102716,Fresh Packaged,FP2020,28,Ecomm,Kern,Delivery,Customer2,3500,45288
United States,Fort Worth,102715,Healthy Beverage,HB1016,52,Ecomm,Kern,Delivery,Customer2,6500,45241
United States,San Francisco,102714,Organic Beauty,OY2545,104,Ecomm,Kern,Delivery,Customer2,13000,45287
United States,San Francisco,102713,Fresh Packaged,FP2020,52,Ecomm,Kern,Delivery,Customer2,6500,45254
